episode,total_reward,steps,solved,avg_loss,epsilon
575,-2979.75,2500,0,0.1282,0.5086
576,-2871.25,2500,0,0.1375,0.5071
577,-2861.25,2500,0,0.1513,0.5056
578,-2778.00,2500,0,0.1553,0.5041
579,-2914.00,2500,0,0.1612,0.5026
580,-2914.50,2500,0,0.1733,0.5011
581,-3075.00,2500,0,0.1645,0.4996
582,-3133.75,2500,0,0.1962,0.4981
583,-3110.75,2500,0,0.1887,0.4966
584,-2943.25,2500,0,0.2037,0.4951
585,-3061.75,2500,0,0.1699,0.4936
586,-3075.75,2500,0,0.1673,0.4921
587,-3107.75,2500,0,0.1504,0.4906
588,-3157.50,2500,0,0.1882,0.4892
589,-3211.25,2500,0,0.1880,0.4877
590,-3107.25,2500,0,0.2076,0.4862
591,-2991.50,2500,0,0.1863,0.4848
592,-3027.75,2500,0,0.1327,0.4833
593,-3084.00,2500,0,0.1536,0.4819
594,-3046.25,2500,0,0.1488,0.4804
595,-3115.25,2500,0,0.1688,0.4790
596,-3240.50,2500,0,0.1485,0.4775
597,-3188.25,2500,0,0.1748,0.4761
598,-3245.50,2500,0,0.1543,0.4747
599,-3192.00,2500,0,0.1857,0.4733
600,-3164.75,2500,0,0.1996,0.4718
601,-3146.00,2500,0,0.1937,0.4704
602,-2996.75,2500,0,0.1823,0.4690
603,-2939.75,2500,0,0.1848,0.4676
604,-3014.25,2500,0,0.1828,0.4662
